id,hotel_name,region,latitude,longitude,accommodation_type,cost,minimum_nights,number_of_reviews,reviews_per_month,owner_id,owned_hotels,yearly_availability
35055,Les Plumes Hotel,Manhattan,40.79861,-73.94116,Entire home/apt,49,2,62,5.81,209386156,9,0
37329,Hotel des Tuileries Relais du Silence,Manhattan,40.71924,-73.98507,Entire home/apt,83,2,3,3,5855485,1,0
7037,Bradford Elys es Astotel,Manhattan,40.73345,-74.00302,Private room,89,1,1,0.03,26133955,1,1
41085,W London Leicester Square,Brooklyn,40.65246,-73.96046,Entire home/apt,75,2,4,1.4,67384934,1,0
21066,The Victoria,Manhattan,40.75369,-73.96679,Shared room,99,2,21,0.7,10585694,1,0
39943,Pullman London St Pancras,Manhattan,40.82179,-73.95283,Shared room,55,3,11,1.76,10415675,7,0
36625,Crowne Plaza London Kensington,Brooklyn,40.66506,-73.95177,Entire home/apt,185,2,6,0.79,12171344,2,0
11427,Doubletree by Hilton London Kensington,Manhattan,40.86689,-73.92224,Entire home/apt,57,1,6,0.13,46399563,1,0
5929,Ace Hotel London Shoreditch,Brooklyn,40.6845,-73.93968,Entire home/apt,102,1,10,0.18,910592,1,0
30579,Staybridge Suites London Vauxhall,Bronx,40.89873,-73.86449,Entire home/apt,34,1,122,8.24,82889379,4,0
3132,The Grosvenor,Manhattan,40.78618,-73.97339,Entire home/apt,299,4,38,0.56,9710466,1,0
27782,The Park Tower Knightsbridge a Luxury Collection Hotel,Bronx,40.83067,-73.88024,Entire home/apt,35,1,14,0.7,119848398,2,0
37005,Amp re,Brooklyn,40.69381,-73.94998,Shared room,70,2,14,1.61,219544415,3,1
23346,Melia Paris Champs Elys es,Bronx,40.86707,-73.90712,Private room,55,5,3,0.12,17766289,2,1
33219,Le Parisis Paris Tour Eiffel,Brooklyn,40.62804,-74.02603,Entire home/apt,75,7,11,0.91,26596078,1,0
29531,Thistle Kensington Gardens,Brooklyn,40.68757,-73.90737,Entire home/apt,38,1,33,1.83,20120009,6,0
1477,Park Plaza Sherlock Holmes London,Manhattan,40.78754,-73.96989,Shared room,113,1,93,1.12,3330459,1,0
7513,Hilton Paris Opera,Manhattan,40.7747,-73.98708,Shared room,2000,30,9,0.18,836168,11,1
6021,The Kensington Hotel,Brooklyn,40.66201,-73.95414,Private room,90,4,12,0.37,2770375,1,1
41526,Holiday Inn London Stratford City,Queens,40.67863,-73.82648,Private room,129,180,0,,242330603,1,1
30667,Staybridge Suites London Stratford,Queens,40.75569,-73.92175,Private room,325,2,2,2,116067987,2,1
29191,Shepherd s Bush Boutique Hotel,Queens,40.75855,-73.82208,Entire home/apt,50,1,16,0.85,52711549,2,0
36440,My Bloomsbury,Manhattan,40.82921,-73.93802,Shared room,125,60,2,0.23,2802223,2,0
3586,Holiday Inn Paris Gare de Lyon Bastille,Manhattan,40.85098,-73.93664,Private room,300,2,0,,8280182,1,1
20815,H tel Chaplain Paris Rive Gauche,Manhattan,40.75327,-73.97175,Private room,599,3,2,0.07,69545883,12,1
32804,H tel Regina Op ra Grands Boulevards,Queens,40.77204,-73.9223,Entire home/apt,51,1,23,1.78,194130534,1,0
5070,11 Cadogan Gardens,Brooklyn,40.6786,-73.96694,Entire home/apt,175,2,25,0.43,534776,1,0
13475,The Wellesley Knightsbridge a Luxury Collection Hotel London,Manhattan,40.76039,-73.9736,Private room,587,1,3,0.16,51772392,1,1
24839,Hotel Astor Saint Honor ,Brooklyn,40.70476,-73.92942,Entire home/apt,65,3,15,0.65,48081884,2,0
23270,Op ra Marigny,Brooklyn,40.61421,-73.95347,Private room,111,90,0,,31979360,1,1
41571,H tel Diva Opera,Brooklyn,40.68495,-73.97438,Private room,85,4,0,,44262594,1,1
40683,Le Marcel,Brooklyn,40.6386,-73.93654,Entire home/apt,80,1,10,1.95,236565167,1,0
29578,H tel Duo,Manhattan,40.7734,-73.98684,Private room,120,60,0,,93516714,1,1
43522,H tel Le Marianne,Manhattan,40.76008,-73.98721,Private room,227,29,0,,219517861,327,1
28686,The Rembrandt,Manhattan,40.81244,-73.95261,Entire home/apt,67,2,8,0.42,12517694,1,0
33391,Hotel Eden,Manhattan,40.84918,-73.93775,Entire home/apt,70,1,31,2.53,151291713,2,0
21401,H tel de la Bourdonnais,Brooklyn,40.71096,-73.95171,Entire home/apt,65,3,7,0.24,53743935,1,0
13805,Ashburn Hotel,Brooklyn,40.69995,-73.92937,Entire home/apt,100,5,14,0.33,53582731,1,0
38542,Marlin Waterloo,Brooklyn,40.69091,-73.97202,Entire home/apt,119,2,28,3.94,1364105,1,0
22687,Best Western Premier Marais Grands Boulevards,Queens,40.58938,-73.79447,Entire home/apt,48,1,62,2.35,82562435,2,0
2285,Novotel London Waterloo,Brooklyn,40.69305,-73.90398,Private room,125,2,116,1.55,2413714,1,1
29110,The Athenaeum,Manhattan,40.76282,-73.99184,Private room,275,180,5,0.27,30368670,2,1
18994,Park International Hotel,Manhattan,40.80466,-73.95582,Private room,399,3,1,0.03,5525273,1,1
40981,Lansbury Heritage Hotel,Manhattan,40.80008,-73.95926,Private room,60,30,1,1,238321374,32,1
33402,Le Dokhan s a Tribute Portfolio Hotel,Brooklyn,40.69069,-73.92651,Entire home/apt,125,2,13,1.26,135585700,1,0
9738,Le Relais Madeleine,Brooklyn,40.69127,-73.93983,Private room,40,1,23,0.56,39200438,1,1
28945,Terrass H tel Montmartre by MH,Manhattan,40.75081,-74.00396,Private room,2010,1,0,,3750764,6,1
23539,Millennium Hotel Paris Opera,Brooklyn,40.69097,-73.94721,Private room,101,2,9,0.36,58225,1,1
26748,Waldorf Madeleine,Manhattan,40.73261,-74.00713,Private room,295,2,7,0.33,57169534,1,1
25001,Batty Langley s,Queens,40.74905,-73.86499,Shared room,37,1,26,1.1,32446721,6,1
41186,Best Western Mornington Hotel Hyde Park,Manhattan,40.79907,-73.96098,Shared room,128,30,0,,240207968,2,0
36532,Arbor City,Manhattan,40.77513,-73.94977,Entire home/apt,135,1,20,2.74,10989161,1,0
19967,Hotel La Lanterne,Brooklyn,40.72388,-73.9404,Private room,150,3,0,,19803201,2,1
22099,H tel Square Louvois,Manhattan,40.80623,-73.94047,Entire home/apt,115,1,134,4.81,45006492,2,0
7245,Hotel Marignan Champs Elys es,Manhattan,40.83299,-73.94527,Private room,150,2,8,0.16,7989115,1,1
19135,Le Grey Hotel,Manhattan,40.75388,-73.97308,Private room,799,3,2,0.06,96098402,12,1
15375,Le Pavillon des Lettres,Brooklyn,40.71172,-73.9417,Entire home/apt,205,2,7,0.18,2861820,1,0
47644,H tel San R gis,Manhattan,40.71133,-74.00676,Shared room,220,4,0,,5339419,1,0
41167,Garden Elys e,Manhattan,40.86454,-73.9246,Entire home/apt,35,1,33,6.56,21836588,1,0
21671,Hotel Louvre Montana,Manhattan,40.78007,-73.94803,Entire home/apt,125,3,30,1.08,20410925,1,0
6528,Ambassadors Bloomsbury,Queens,40.75916,-73.91427,Entire home/apt,60,1,72,1.3,24418383,1,1
38001,Le 123 S bastopol Astotel,Queens,40.76992,-73.89719,Entire home/apt,62,5,3,0.76,160493366,1,0
28049,Le 123 Elysees Astotel,Brooklyn,40.67753,-73.9841,Shared room,119,1,11,0.57,159091490,17,1
24082,The Bryson Hotel,Manhattan,40.74843,-73.97715,Private room,175,30,1,0.06,120762452,50,1
45613,Best Western Mercedes Arc de Triomphe,Brooklyn,40.67562,-73.95319,Shared room,90,7,0,,73869612,1,0
36361,London Marriott Hotel Regents Park,Brooklyn,40.66061,-73.94712,Private room,40,2,2,0.74,215588687,6,1
25552,Hilton London Hyde Park,Manhattan,40.81332,-73.94869,Entire home/apt,65,1,3,0.14,145975067,3,0
22008,Staunton Hotel B B,Manhattan,40.7683,-73.95919,Entire home/apt,230,4,34,1.33,26177358,1,0
33878,1K Hotel,Brooklyn,40.69042,-73.96046,Entire home/apt,44,6,6,0.52,79657553,1,0
18865,H tel Westminster,Brooklyn,40.7119,-73.94431,Private room,90,3,17,0.5,33799659,1,0
20331,L H tel,Queens,40.75418,-73.88586,Private room,250,2,14,0.51,104177785,1,0
2793,Mercure Paris Porte d Orleans,Brooklyn,40.58426,-73.95949,Shared room,99,3,66,1.05,7365834,5,1
18581,Maxim Op ra,Manhattan,40.7608,-73.96136,Private room,175,30,0,,2856748,49,1
29676,Le Marceau Bastille,Queens,40.70228,-73.90097,Entire home/apt,90,1,4,2.26,28913914,1,0
48515,Hotel Odeon Saint Germain,Manhattan,40.8683,-73.92161,Private room,349,2,0,,273038911,1,1
39018,Mercure London Bloomsbury Hotel,Brooklyn,40.69088,-73.91556,Private room,43,20,0,,198328249,2,1
45306,The Chamberlain,Manhattan,40.79952,-73.94592,Private room,75,1,0,,38483415,4,1
2772,Radisson Blu Edwardian Grafton,Manhattan,40.73051,-73.99518,Private room,1100,2,17,0.25,4358024,2,1
35496,La Villa Haussmann,Brooklyn,40.67,-73.95091,Shared room,89,2,0,,13415893,1,0
41977,London Marriott Hotel Marble Arch,Queens,40.73534,-73.87767,Shared room,35,29,3,0.87,43044876,5,0
26573,Saint Georges Hotel,Queens,40.75811,-73.90954,Entire home/apt,43,4,19,1.64,75563831,2,0
17508,Park Grand London Lancaster Gate,Queens,40.77697,-73.9082,Private room,60,2,10,0.38,38404959,2,1
44722,The Henrietta Hotel,Manhattan,40.70796,-74.00288,Private room,270,1,0,,38216858,4,1
26102,Sofitel Paris Arc De Triomphe,Bronx,40.85751,-73.90805,Entire home/apt,45,3,12,0.54,74633496,5,1
11307,Hotel Mercure La Sorbonne Saint Germain des Pr s,Brooklyn,40.70353,-73.93482,Entire home/apt,140,7,16,0.49,8822845,1,0
36169,La Tremoille Paris,Manhattan,40.7458,-73.9957,Entire home/apt,140,32,29,3.94,216891728,1,0
20713,Hotel Op ra Richepanse,Brooklyn,40.64233,-73.94773,Private room,38,30,0,,27977412,4,1
5364,H tel Duc De St Simon,Manhattan,40.72471,-73.98673,Entire home/apt,250,4,28,0.49,736815,1,0
46230,Hotel Le Six,Queens,40.73213,-73.85717,Private room,90,7,1,1,264798401,1,1
47375,The Bailey s Hotel London,Brooklyn,40.61354,-73.96316,Private room,140,1,0,,136408243,1,1
43016,London Marriott Hotel Park Lane,Manhattan,40.70569,-74.00403,Private room,169,7,1,0.53,5144567,13,1
4478,Best Western Premier Louvre Saint Honor ,Manhattan,40.71987,-73.98641,Shared room,150,1,32,0.51,13969061,1,0
45173,Hotel Indigo London Tower Hill,Queens,40.75742,-73.9447,Shared room,69,2,0,,57007752,2,0
29309,Windermere Hotel,Manhattan,40.7199,-73.99225,Entire home/apt,101,4,4,0.22,164847238,1,0
9780,La Villa Maillot,Manhattan,40.7394,-73.99838,Private room,210,1,10,0.22,1825554,1,0
32659,H tel Madison by MH,Manhattan,40.76996,-73.9576,Entire home/apt,138,2,57,4.44,63266842,1,0
47924,Mercure London Paddington Hotel,Brooklyn,40.69399,-73.92609,Private room,50,1,1,1,89264510,1,1
42902,Hilton London Paddington,Bronx,40.83251,-73.91217,Entire home/apt,85,1,0,,24979023,1,1
37457,London Marriott Hotel Kensington,Queens,40.67098,-73.79657,Private room,34,4,0,,213208277,8,1
32426,Kensington House Hotel,Manhattan,40.73655,-74.00226,Entire home/apt,175,2,19,1.45,17788946,1,0
2853,Charlotte Street Hotel,Queens,40.76752,-73.9273,Private room,120,3,12,0.17,8783166,2,1
1674,The Goring,Manhattan,40.75383,-73.96777,Entire home/apt,133,6,22,0.33,286313,1,0
46111,Novotel Paris 14 Porte d Orl ans,Brooklyn,40.67753,-73.99084,Shared room,110,30,1,1,189994854,1,0
15110,The Pelham Starhotels Collezione,Brooklyn,40.62462,-73.95508,Private room,89,2,5,0.13,20161989,1,1
41557,The Montague On The Gardens,Brooklyn,40.69722,-73.97204,Shared room,119,3,2,0.44,6771515,1,0
8649,Ritz Paris,Brooklyn,40.68932,-73.99082,Entire home/apt,169,2,49,1,34813492,1,0
21000,Hotel Les Rives de Notre Dame,Brooklyn,40.73824,-73.9537,Private room,99,2,6,0.27,51024366,1,1
37304,Sofitel Paris Le Faubourg,Brooklyn,40.68612,-73.98988,Private room,174,2,9,1.13,223032162,2,0
27502,Bassano,Manhattan,40.80188,-73.95695,Entire home/apt,75,7,12,0.63,157653177,1,0
41707,Best Western Premier Le Swann,Manhattan,40.76121,-73.98813,Entire home/apt,220,5,5,1.95,10120673,2,0
41225,H tel des Academies et des Arts,Brooklyn,40.70298,-73.93834,Shared room,80,1,0,,33386742,1,0
31964,Hotel Lumen Paris Louvre,Manhattan,40.78922,-73.97398,Entire home/apt,175,2,8,0.59,164724867,1,0
18563,Le Marquis Eiffel,Staten Island,40.6363,-74.15911,Private room,200,1,0,,17938076,1,1
46100,COQ Hotel Paris,Manhattan,40.80619,-73.94174,Shared room,125,2,1,1,9524788,1,0
46321,Mill sime H tel,Manhattan,40.749,-74.00244,Private room,300,2,3,3,244131674,1,1
35053,The Leonard Hotel,Manhattan,40.79873,-73.94052,Entire home/apt,49,2,51,4.71,209386156,9,0
19152,DoubleTree by Hilton London Hyde Park,Manhattan,40.7619,-73.99819,Private room,534,30,0,,95459395,18,1
35790,The Ritz London,Brooklyn,40.71801,-73.95573,Shared room,190,4,2,0.21,17760140,1,0
22518,M by Montcalm Shoreditch London Tech City,Brooklyn,40.68416,-73.97912,Entire home/apt,64,1,3,0.19,125717450,1,0
19710,Legend Saint Germain by Elegancia,Manhattan,40.74584,-73.99103,Shared room,229,30,3,0.12,22541573,87,1
41577,Clayton Crown Hotel London,Brooklyn,40.69493,-73.94483,Entire home/apt,100,3,4,1.04,73066515,3,0
2744,Au Manoir Saint Germain,Manhattan,40.71862,-73.99154,Private room,125,1,1,0.01,7919277,1,1
30738,St Paul s Hotel,Manhattan,40.71179,-73.99848,Entire home/apt,160,2,129,8.27,19909972,1,0
48372,Best Western S vres Montparnasse,Queens,40.75831,-73.9263,Shared room,200,1,0,,90929344,1,0
41957,The Bloomsbury Hotel,Brooklyn,40.67911,-73.9725,Entire home/apt,150,2,4,0.98,17558599,1,0
12166,Nolinski Paris,Brooklyn,40.72104,-73.94805,Entire home/apt,275,5,77,1.89,5037211,2,0
4631,Le Tourville Eiffel,Manhattan,40.7659,-73.96611,Private room,200,4,102,1.7,1866033,1,0
14579,Paris Marriott Opera Ambassador Hotel,Bronx,40.88058,-73.91812,Private room,79,186,7,0.18,60501531,1,1
37182,Hotel Indigo London Paddington,Manhattan,40.78014,-73.97974,Shared room,200,5,1,0.38,621652,1,0
41822,Idol Hotel,Queens,40.70296,-73.90602,Private room,47,35,0,,244171850,10,1
34266,H tel California Champs Elys es,Manhattan,40.78306,-73.94524,Private room,150,30,0,,178224519,8,1
7178,Hotel de Seze,Manhattan,40.75239,-73.9707,Private room,289,10,169,3.23,27121854,1,0
46399,Number Sixteen,Bronx,40.83898,-73.86492,Private room,55,1,0,,265273671,1,1
33485,Hotel Xenia Autograph Collection,Brooklyn,40.6914,-73.90675,Private room,75,4,4,0.36,1004883,2,1
44386,H tel Hor,Brooklyn,40.70998,-73.94694,Private room,155,3,1,0.7,258243498,3,1
37873,Britannia International Hotel Canary Wharf,Manhattan,40.79965,-73.95076,Entire home/apt,75,2,29,3.73,76519640,1,0
25548,Best Western Op ra Batignolles,Brooklyn,40.6898,-73.96012,Entire home/apt,50,14,1,0.13,5053976,3,1
44562,H tel de Banville,Brooklyn,40.71417,-73.95867,Shared room,69,6,2,1.46,116674915,1,0
47925,Villa Eugenie,Brooklyn,40.65087,-73.95566,Private room,123,1,0,,266981597,1,1
20061,Hilton London Euston,Manhattan,40.86757,-73.92699,Entire home/apt,89,14,14,0.57,1713011,1,0
32624,Egerton House,Brooklyn,40.63396,-74.00729,Shared room,50,1,6,0.46,62533391,7,1
24828,Millennium Hotel London Knightsbridge,Manhattan,40.81671,-73.94013,Private room,80,6,0,,31856573,1,1
6972,H tel Raphael,Manhattan,40.77569,-73.95721,Private room,150,1,9,0.24,25773982,2,1
22472,Le 7 Eiffel Hotel,Queens,40.70678,-73.80613,Shared room,1000,2,5,0.27,125320407,5,1
24049,Paris Marriott Rive Gauche Hotel,Queens,40.75712,-73.8122,Shared room,120,2,45,1.87,124860677,6,1
19123,Hotel La Place,Manhattan,40.75331,-73.9733,Shared room,599,3,8,0.24,96098402,12,1
48410,Hotel Le Pera,Brooklyn,40.70518,-73.93794,Shared room,100,1,1,1,12091973,1,0
37771,H tel Bedford,Queens,40.74824,-73.89961,Entire home/apt,30,29,1,0.3,43044876,5,0
47679,Drawing Hotel,Bronx,40.80146,-73.91673,Private room,125,3,0,,269775225,2,1
32440,Novotel Paris Centre Gare Montparnasse,Brooklyn,40.72678,-73.95087,Entire home/apt,156,1,29,2.33,21552055,2,0
10754,D clic Hotel,Manhattan,40.82755,-73.93787,Private room,125,3,8,0.17,1017231,1,0
19869,Villa d Estr es,Brooklyn,40.71463,-73.96474,Private room,250,2,53,1.68,103349564,1,0
22540,Bulgari Hotel London,Manhattan,40.80567,-73.95677,Entire home/apt,140,2,82,3.17,21940966,2,0
32409,Novotel London Greenwich,Brooklyn,40.68773,-73.98778,Entire home/apt,175,5,9,0.68,30224403,1,0
2122,Park Avenue Baker Street,Manhattan,40.73055,-73.98875,Entire home/apt,159,4,65,0.85,5333736,1,0
21149,Hotel Plaza Elys es,Bronx,40.8562,-73.90899,Shared room,43,3,36,1.26,74633496,5,1
16426,Hotel Champs Elys es Friedland by Happyculture,Manhattan,40.74747,-73.98061,Private room,189,30,0,,22541573,87,1
39022,Malmaison London,Manhattan,40.78695,-73.94218,Private room,215,60,0,,82189264,1,1
23157,The Park City Grand Plaza Kensington Hotel,Manhattan,40.75403,-73.96343,Shared room,225,30,0,,2856748,49,1
1899,Park Plaza London Riverbank,Manhattan,40.7466,-73.99219,Private room,999,10,30,0.4,3665164,1,1
22759,Pullman Paris Tour Eiffel,Brooklyn,40.66399,-73.98301,Entire home/apt,210,3,5,0.21,1507779,2,0
31024,Danubius Hotel Regents Park,Brooklyn,40.70057,-73.92385,Entire home/apt,180,7,3,0.22,22002554,1,0
2423,Hotel Bachaumont,Brooklyn,40.67463,-73.91811,Private room,103,8,5,0.21,6554341,1,0
41527,Franklin Roosevelt,Manhattan,40.76324,-73.96382,Shared room,175,3,1,1,203254069,1,0
30841,H tel Horset Op ra Best Western Premier Collection,Brooklyn,40.67945,-73.90842,Entire home/apt,40,2,20,1.28,179387087,3,0
30506,Best Western Paris Gare Saint Lazare,Manhattan,40.72909,-73.98986,Entire home/apt,95,1,78,4.79,130858402,1,0
39892,Splendide Royal Paris,Manhattan,40.7608,-73.97391,Private room,820,1,1,1,26556695,6,1
17174,The Rockwell,Brooklyn,40.6878,-73.95493,Entire home/apt,90,3,82,2.22,56352735,1,0
34806,The LaLit London,Brooklyn,40.68307,-73.99226,Shared room,160,4,2,0.23,6067124,1,0
17109,Mercure Paris Alesia,Manhattan,40.76646,-73.98649,Entire home/apt,220,30,0,,2856748,49,1
2483,Courthouse Hotel London,Brooklyn,40.65994,-73.95892,Shared room,350,5,0,,809716,1,1
38224,Best Western The Boltons Hotel London Kensington,Manhattan,40.80521,-73.95592,Entire home/apt,63,30,1,0.37,126653377,6,0
41757,Radisson Blu Edwardian Sussex,Manhattan,40.8242,-73.95106,Entire home/apt,112,30,0,,216419980,1,1
29866,Hotel The Peninsula Paris,Brooklyn,40.6899,-73.93559,Private room,450,2,27,1.79,4181378,2,1
9773,Le Narcisse Blanc Spa,Brooklyn,40.68799,-73.97314,Entire home/apt,140,2,19,0.4,7094504,1,0
28778,The Pillar Hotel,Manhattan,40.73962,-73.98492,Entire home/apt,221,5,7,0.38,1391186,1,0
20126,Crowne Plaza London The City,Manhattan,40.84657,-73.9357,Entire home/apt,65,2,55,5.54,66915031,1,0
46269,H tel Les Dames du Panth on,Brooklyn,40.65406,-73.94011,Private room,89,3,0,,182989977,5,1
8530,H tel Victor Hugo Paris Kl ber,Manhattan,40.79222,-73.96445,Shared room,1000,30,27,0.57,836168,11,1
5424,Grand Hotel Saint Michel,Brooklyn,40.66336,-73.92656,Shared room,81,2,4,0.08,20278196,3,1
1269,Hotel Maison Ath n e,Brooklyn,40.68752,-73.96688,Private room,200,3,2,0.02,746552,1,1
37447,Relais Du Louvre,Brooklyn,40.64376,-73.90833,Shared room,68,2,3,0.47,205131610,3,1
34629,Pullman Paris Montparnasse,Manhattan,40.79917,-73.93716,Private room,111,3,9,0.88,207003851,1,0
34015,Best Western Ducs de Bourgogne,Manhattan,40.74389,-73.97149,Private room,340,30,0,,200380610,65,1
33614,Best Western Premier Op ra Opal,Manhattan,40.81694,-73.93909,Shared room,150,2,3,0.26,56338076,3,1
2926,Amarante Champs Elys es,Brooklyn,40.68208,-73.9104,Private room,65,3,2,0.06,8925493,2,1
33815,The Gore Hotel Starhotels Collezione,Brooklyn,40.6853,-73.96385,Private room,65,30,31,2.7,201419214,3,1
40194,The Hoxton Holborn,Queens,40.68941,-73.75116,Shared room,42,2,12,2.4,146275359,3,1
24343,Mercure London Kensington Hotel,Brooklyn,40.69293,-73.98495,Entire home/apt,85,4,13,0.54,813647,1,0
5400,Royal Garden Hotel,Brooklyn,40.7083,-73.94846,Entire home/apt,90,1,10,0.17,2316267,1,1
15136,Boundary Rooms Suites,Brooklyn,40.69106,-73.96529,Shared room,169,12,13,0.34,54378184,3,1
43662,H tel Ad le Jules,Bronx,40.80143,-73.91353,Entire home/apt,115,2,11,4.46,251704655,3,0
6560,Grange White Hall Hotel,Manhattan,40.82501,-73.95373,Shared room,125,1,4,0.08,24530713,3,1
30110,Hilton London Bankside,Brooklyn,40.72742,-73.95066,Private room,190,2,5,0.32,9804931,2,0
5844,DoubleTree by Hilton London Ealing,Brooklyn,40.67009,-73.9329,Shared room,75,2,25,0.43,3609048,3,1
31973,Molitor Paris MGallery by Sofitel,Manhattan,40.71686,-74.00484,Entire home/apt,305,30,0,,107434423,232,0
37362,First Hotel Paris Tour Eiffel,Brooklyn,40.71797,-73.95441,Shared room,200,3,0,,4452717,1,0
34177,DoubleTree by Hilton London Victoria,Manhattan,40.76668,-73.99656,Private room,135,2,21,2.78,204018218,1,0
